customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure,Age,address,postcode,state,country,property_valuation,Valid_Address
1,Laraine,Medendorp,F,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,N,"""'",Yes,11.0,66.0,060 Morning Avenue,2016.0,NSW,Australia,10.0,1.0
2,Eli,Bockman,M,81.0,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,<script>alert('hi')</script>,Yes,16.0,39.0,6 Meadow Vale Court,2153.0,NSW,Australia,10.0,1.0
3,Arlin,Dearle,M,61.0,1954-01-20,Recruiting Manager,Property,Mass Customer,N,1-Feb,Yes,15.0,65.0,,,,,,
4,Talbot,,M,33.0,1961-10-03,,IT,Mass Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,7.0,58.0,0 Holy Cross Court,4211.0,QLD,Australia,9.0,1.0
5,Sheila-kathryn,Calton,F,56.0,1977-05-13,Senior Editor,,Affluent Customer,N,NIL,Yes,8.0,42.0,17979 Del Mar Point,2448.0,NSW,Australia,4.0,1.0
6,Curr,Duckhouse,M,35.0,1966-09-16,,Retail,High Net Worth,N,ðµ ð ð ð,Yes,13.0,53.0,9 Oakridge Court,3216.0,VIC,Australia,9.0,1.0
7,Fina,Merali,F,6.0,1976-02-23,,Financial Services,Affluent Customer,N,â°â´âµâââ,Yes,11.0,43.0,4 Delaware Trail,2210.0,NSW,Australia,9.0,1.0
8,Rod,Inder,M,31.0,1962-03-30,Media Manager I,,Mass Customer,N,(â¯Â°â¡Â°ï¼â¯ï¸µ â»ââ»),No,7.0,57.0,49 Londonderry Lane,2650.0,NSW,Australia,4.0,1.0
9,Mala,Lind,F,97.0,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,N,0/0,Yes,8.0,46.0,97736 7th Trail,2023.0,NSW,Australia,12.0,1.0
10,Fiorenze,Birdall,F,49.0,1988-10-11,Senior Quality Engineer,Financial Services,Mass Customer,N,ð©ð½,Yes,20.0,31.0,,,,,,
11,Uriah,Bisatt,M,99.0,1954-04-30,,Property,Mass Customer,N,ÅâÂ´Â®â Â¥Â¨ËÃ¸Ïââ,No,9.0,65.0,93405 Ludington Park,3044.0,VIC,Australia,8.0,1.0
12,Sawyere,Flattman,M,58.0,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,nil,No,8.0,25.0,44339 Golden Leaf Alley,4557.0,QLD,Australia,4.0,1.0
13,Gabriele,Norcross,M,38.0,1955-02-15,Developer I,Financial Services,High Net Worth,N,-1.00E+02,Yes,8.0,64.0,2 Sutherland Street,3799.0,VIC,Australia,6.0,1.0
14,Rayshell,Kitteman,F,85.0,1983-03-25,Account Executive,Financial Services,Affluent Customer,N,â°â´âµ,No,6.0,36.0,9 Mcbride Trail,2760.0,NSW,Australia,8.0,1.0
15,Erroll,Radage,M,91.0,2000-07-13,Junior Executive,Manufacturing,Mass Customer,N,ð,No,1.0,19.0,9861 New Castle Avenue,2428.0,NSW,Australia,9.0,1.0
16,Harlin,Parr,M,38.0,1977-02-27,Media Manager IV,,Mass Customer,N,1.00E+96,Yes,18.0,42.0,52 Moland Street,3331.0,VIC,Australia,4.0,1.0
17,Heath,Faraday,M,57.0,1962-03-19,Sales Associate,,Affluent Customer,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,Yes,15.0,57.0,82391 Kensington Lane,3058.0,VIC,Australia,9.0,1.0
18,Marjie,Neasham,F,79.0,1967-07-06,Professor,,Affluent Customer,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,11.0,52.0,092 2nd Alley,2135.0,NSW,Australia,12.0,1.0
19,Sorcha,Keyson,F,76.0,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,N,ÅâÂ´â°ËÃÂ¨ËÃâââ,No,1.0,18.0,59 Spaight Circle,2233.0,NSW,Australia,9.0,1.0
20,Basile,Firth,M,72.0,1980-08-13,Project Manager,Manufacturing,Mass Customer,N,ð©ð½,No,11.0,39.0,032 Bartelt Crossing,2444.0,NSW,Australia,8.0,1.0
21,Mile,Cammocke,M,74.0,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,N,-1.00E+02,Yes,16.0,39.0,18 Jenna Center,2650.0,NSW,Australia,7.0,1.0
22,Deeanne,Durtnell,F,79.0,1962-12-10,,IT,Mass Customer,N,ï¼ï¼ï¼,No,11.0,57.0,,,,,,
23,Olav,Polak,M,43.0,1995-02-10,,,High Net Worth,N,1-Feb,Yes,1.0,24.0,,,,,,
24,Kim,Skpsey,F,55.0,1977-12-03,Research Assistant I,Argiculture,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,15.0,42.0,3 Cordelia Plaza,2153.0,NSW,Australia,10.0,1.0
25,Geoff,Assaf,M,72.0,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,N,×Ö¸×Ö°×ªÖ¸×testØ§ÙØµÙØ­Ø§Øª Ø§ÙØªÙØ­ÙÙ,Yes,21.0,43.0,28 5th Center,4413.0,QLD,Australia,3.0,1.0
26,Trixi,Ginnelly,F,12.0,1978-06-10,Editor,Financial Services,Mass Customer,N,"<>?:""{}|_+",Yes,16.0,41.0,52 Carey Alley,4740.0,QLD,Australia,5.0,1.0
27,Garvin,Klees,M,37.0,1978-09-25,Research Nurse,Health,Mass Customer,N,"''''""",Yes,12.0,41.0,96 Texas Plaza,3218.0,VIC,Australia,7.0,1.0
28,Fee,Zellmer,M,5.0,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,N,",./;'[]\-=",Yes,21.0,46.0,48 Eagan Avenue,4868.0,QLD,Australia,4.0,1.0
29,Mona,Sancraft,F,62.0,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,19.0,51.0,9 Buell Park,4116.0,QLD,Australia,7.0,1.0
30,Darrick,Helleckas,M,18.0,1961-10-18,,IT,Affluent Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,Yes,6.0,58.0,02663 Buell Parkway,2519.0,NSW,Australia,11.0,1.0
31,Star,Praton,F,3.0,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,N,testâ testâ«,Yes,14.0,57.0,2294 Pleasure Place,2135.0,NSW,Australia,12.0,1.0
